tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code]
tracker-detail-page.trustarc.com,Essential cookies,TrustArc,JavaScript,,,,,https://www.CLIENT_X.lt/a-w/slapuku-politika,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
tracker-detail-page.trustarc.com,Essential cookies,TrustArc,ETag,,,,,https://www.CLIENT_X.lt/a-w/slapuku-politika,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
beacon.speedcurve.com,Performance cookies,Speedcurve,Beacon,,,,,https://www.CLIENT_X.lt/c-m-ho/drabuziu-garintuvas,New Third Party Trackers,Monitor the front-end performance and build of your website. Compare yourself to others and beat the competition.,,,,
cdn.speedcurve.com,Performance cookies,Speedcurve,JavaScript,,,,,https://www.CLIENT_X.lt/,New Third Party Trackers,Monitor the front-end performance and build of your website. Compare yourself to others and beat the competition.,,,,
eu-images.contentstack.com,Performance cookies,Contentstack,ETag,,,,,https://www.CLIENT_X.lt/c-m-ho/airfryer,New Third Party Trackers,Contentstack is an API-first content hub at the intersection of CMS (content management systems) and DXP (digital experience platforms).,,,,
koninklijkeCLIENT_Xnvproduction2k8xfrmr.analytics.org.coveo.com,Performance cookies,Coveo Solutions Inc.,Beacon,,,,,https://www.CLIENT_X.lt/healthcare/about/support/resource-center/results,New Third Party Trackers,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",,,,
koninklijkeCLIENT_Xnvproduction2k8xfrmr.org.coveo.com,Performance cookies,Coveo Solutions Inc.,Beacon,,,,,https://www.CLIENT_X.lt/healthcare/about/support/resource-center/results,New Third Party Trackers,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",,,,
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,s_vi,,400,,https://www.CLIENT_X.lt/healthcare,New Third Party Trackers,Adobe Audience Manager is a data management platform that helps build audience profiles so you can identify your valuable segments and use them across any digital channel.,,,,
CLIENT_Xb2c.my.salesforce-scrt.com,Performance cookies,"Salesforce.com, Inc.",Beacon,,,,,https://www.CLIENT_X.lt/lt/c-p/HX9992_12/sonicare-9900-prestige-elektrinis-dantu-sepetelis-su-senseiq/palaikymas,New Third Party Trackers,"Salesforce.com, Inc. is a cloud computing company that develops CRM solutions and provides business software on a subscription basis.",,,,
www.CLIENT_X.cz,Performance cookies,CLIENT_X - Czech Republic,HTTP Cookie,__cf_bm,,0,,https://www.CLIENT_X.lt/c-e/pe/dental-profesional/dantu-sepeteliai.html,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
analytics-ipv6.tiktokw.us,Targeted Advertising cookies (including social media),TikTok,Beacon,,,,,https://www.CLIENT_X.lt/,New Third Party Trackers,"TikTok is a video-sharing social networking service owned by ByteDance, a Beijing-based company founded in 2012 by Zhang Yiming. It is used to create short lip-sync, comedy, and talent videos.",,,,
img.youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,ETag,,,,,https://www.CLIENT_X.lt/healthcare/product/HCNOCTN281/intellispace-portal-7,New Third Party Trackers,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.Business Data Responsibility",,,,
tag-logger.demandbase.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",ETag,,,,,https://www.CLIENT_X.lt/healthcare/product/HC781439,New Third Party Trackers,Demandbase is passionately dedicated to helping B2B marketers achieve greater business impact.,,,,
www.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,ETag,,,,,https://www.CLIENT_X.lt/healthcare/sites/lumify-handheld-ultrasound/lumify-academy,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,__Secure-YNID,,180,,https://www.CLIENT_X.lt/healthcare/clinical-solutions/early-warning-scoring,New Third Party Trackers,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.Business Data Responsibility",,,,
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,cf_clearance,,365,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,coveo_visitorId,,365,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,s_fid,,400,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,ttcsid,,90,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,ttcsid*,,90,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
www.CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,__cf_bm,,0,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
www.CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,AWSALB,,7,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
www.CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,AWSALBCORS,,7,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
www.CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,bv_metrics,,0,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
www.CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,coveo_client_id,,session,,https://www.CLIENT_X.lt/,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of healthcare, consumer lifestyle and lighting.",,,,
