tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code]
agent-versuni.mindtouch.us,Performance cookies,MindTouch,Beacon,,,,,https://www.CLIENT_X.jo/en/c-f/XC000021443/my-CLIENT_X-fan-makes-an-unusual-noise-when-oscillating,New Third Party Trackers,"MindTouch provides self-service cloud software to customers that create experts and improves marketing, sales and support.",,,,
agent-versuni.mindtouch.us,Performance cookies,MindTouch,HTTP Cookie,dekisession,,400,,https://www.CLIENT_X.jo/en/c-f/XC000021443/my-CLIENT_X-fan-makes-an-unusual-noise-when-oscillating,New Third Party Trackers,"MindTouch provides self-service cloud software to customers that create experts and improves marketing, sales and support.",,,,
agent-versuni.mindtouch.us,Performance cookies,MindTouch,HTTP Cookie,mtwebsession,,session,,https://www.CLIENT_X.jo/en/c-f/XC000021443/my-CLIENT_X-fan-makes-an-unusual-noise-when-oscillating,New Third Party Trackers,"MindTouch provides self-service cloud software to customers that create experts and improves marketing, sales and support.",,,,
img.en25.com,Performance cookies,Oracle Marketing,JavaScript,,,,,https://www.CLIENT_X.jo/healthcare,New Third Party Trackers,"Oracle Marketing is a comprehensive, integrated marketing solution available to launch cross-channel marketing programs and unify all prospect and customer marketing signals in a single view.",,,,
koninklijkeCLIENT_Xnvproduction2k8xfrmr.analytics.org.coveo.com,Performance cookies,Coveo Solutions Inc.,Beacon,,,,,https://www.CLIENT_X.jo/healthcare/about/support/resource-center/results,New Third Party Trackers,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",,,,
koninklijkeCLIENT_Xnvproduction2k8xfrmr.org.coveo.com,Performance cookies,Coveo Solutions Inc.,Beacon,,,,,https://www.CLIENT_X.jo/healthcare/about/support/resource-center/results,New Third Party Trackers,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",,,,
ssl-static.janraincapture.com,Performance cookies,Akamai,JavaScript,,,,,https://www.CLIENT_X.jo/myCLIENT_X#/register-new-product/form/HR1916_71,New Third Party Trackers,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.",,,,
static.cloud.coveo.com,Performance cookies,Coveo Solutions Inc.,JavaScript,,,,,https://www.CLIENT_X.jo/healthcare/about/support/resource-center/results,New Third Party Trackers,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",,,,
static.cloud.coveo.com,Performance cookies,Coveo Solutions Inc.,ETag,,,,,https://www.CLIENT_X.jo/healthcare/about/support/resource-center/results,New Third Party Trackers,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",,,,
versuni.scene7.com,Performance cookies,Adobe Experience Cloud - Experience Manager,JavaScript,,,,,https://www.CLIENT_X.jo/en/c-f/XC000021994/how-to-clean-the-dust-bucket-and-filter-of-my-CLIENT_X-1000-series-bagless-vacuum-cleaner,New Third Party Trackers,"Adobe Experience Manager (AEM), is a comprehensive content management solution for building websites, mobile apps and forms.",,,,
versuni.scene7.com,Performance cookies,Adobe Experience Cloud - Experience Manager,ETag,,,,,https://www.CLIENT_X.jo/en/c-f/XC000021994/how-to-clean-the-dust-bucket-and-filter-of-my-CLIENT_X-1000-series-bagless-vacuum-cleaner,New Third Party Trackers,"Adobe Experience Manager (AEM), is a comprehensive content management solution for building websites, mobile apps and forms.",,,,
widget-cdn.janraincapture.com,Performance cookies,Akamai,JavaScript,,,,,https://www.CLIENT_X.jo/myCLIENT_X#/register-new-product/form/HR1916_71,New Third Party Trackers,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.",,,,
widget-cdn.janraincapture.com,Performance cookies,Akamai,ETag,,,,,https://www.CLIENT_X.jo/myCLIENT_X#/register-new-product/form/HR1916_71,New Third Party Trackers,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.",,,,
i.ytimg.com,Targeted Advertising cookies (including social media),Google Inc.,ETag,,,,,https://www.CLIENT_X.jo/en/c-f/XC000021305/how-do-i-descale-my-CLIENT_X-garment-steamerall-in-one-solution,New Third Party Trackers,"Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.Business Data Responsibility",,,,
img.youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,ETag,,,,,https://www.CLIENT_X.jo/en/healthcare/product/HC881072/intellispaceportaladvancedvisualizationsolution,New Third Party Trackers,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.Business Data Responsibility",,,,
www.accounts.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,JavaScript,,,,,https://www.CLIENT_X.jo/myCLIENT_X#/register-new-product/form/HR1916_71,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.accounts.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,ETag,,,,,https://www.CLIENT_X.jo/myCLIENT_X#/register-new-product/form/HR1916_71,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.crsc.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,JavaScript,,,,,https://www.CLIENT_X.jo/myCLIENT_X#/register-new-product/form/HR1916_71,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.crsc.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,ETag,,,,,https://www.CLIENT_X.jo/myCLIENT_X#/register-new-product/form/HR1916_71,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.ae,Targeted Advertising cookies (including social media),CLIENT_X - Middle East Arab,HTTP Cookie,__cf_bm,,0,,https://www.CLIENT_X.jo/en/healthcare/education-resources/publications/fieldstrength?npagination=0,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.",,,,
www.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,ETag,,,,,https://www.CLIENT_X.jo/en/c-f/XC000003591/what-kind-of-food-can-i-make-in-my-CLIENT_X-airfryer,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.static.accounts.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,JavaScript,,,,,https://www.CLIENT_X.jo/myCLIENT_X#/register-new-product/form/HR1916_71,New Third Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.",,,,
CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,HTTP Cookie,cf_clearance,,365,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,HTTP Cookie,s_eVar8,,session,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,Beacon,,,,,https://www.CLIENT_X.jo/myCLIENT_X#/register-new-product/form/HR1916_71,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,JavaScript,,,,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,ETag,,,,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,HTTP Cookie,__cf_bm,,0,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile/company-contacts.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,HTTP Cookie,AWSALB,,7,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile/company-contacts.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,HTTP Cookie,AWSALBCORS,,7,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile/company-contacts.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,HTTP Cookie,eddl_gtm_qe_session_start_6523424625,,session,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile/company-contacts.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,HTTP Cookie,kampyle_userid,,365,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile/company-contacts.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
www.CLIENT_X.jo,Essential cookies,CLIENT_X - Jordan,HTTP Cookie,kampylePageLoadedTimestamp,,365,,https://www.CLIENT_X.jo/a-w/about-CLIENT_X/company-profile/company-contacts.html,New First Party Trackers,"CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting.",,,,
