tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code]
consent-pref.trustarc.com,Essential cookies,TrustArc,JavaScript,,,,,https://www.CLIENT_X.rs/sr/c-p/BHB876_00R1/stylecare-prestige-refurbished-auto-curler/support,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
consent-st.trustarc.com,Essential cookies,TrustArc,JavaScript,,,,,https://www.CLIENT_X.rs/sr/c-p/BHB876_00R1/stylecare-prestige-refurbished-auto-curler/support,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
tracker-detail-page.trustarc.com,Essential cookies,TrustArc,JavaScript,,,,,https://www.CLIENT_X.rs/a-w/cookie-notice,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
tracker-detail-page.trustarc.com,Essential cookies,TrustArc,ETag,,,,,https://www.CLIENT_X.rs/a-w/cookie-notice,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
beacon.speedcurve.com,Performance cookies,Speedcurve,Beacon,,,,,https://www.CLIENT_X.rs/c-m-au/svetla-za-automobile/latest,New Third Party Trackers,Monitor the front-end performance and build of your website. Compare yourself to others and beat the competition.,,,,
cdn.speedcurve.com,Performance cookies,Speedcurve,JavaScript,,,,,http://www.CLIENT_X.rs/,New Third Party Trackers,Monitor the front-end performance and build of your website. Compare yourself to others and beat the competition.,,,,
eu-images.contentstack.com,Performance cookies,Contentstack,ETag,,,,,https://www.CLIENT_X.rs/c-m-ho/airfryer,New Third Party Trackers,Contentstack is an API-first content hub at the intersection of CMS (content management systems) and DXP (digital experience platforms).,,,,
img.en25.com,Performance cookies,Oracle Marketing,JavaScript,,,,,https://www.CLIENT_X.rs/healthcare/webinar/unlocking-the-value-of-big-data,New Third Party Trackers,"Oracle Marketing is a comprehensive, integrated marketing solution available to launch cross-channel marketing programs and unify all prospect and customer marketing signals in a single view.",,,,
koninklijkeCLIENT_Xnvproduction2k8xfrmr.org.coveo.com,Performance cookies,Coveo Solutions Inc.,Beacon,,,,,"https://www.CLIENT_X.rs/healthcare/support/resource-center/results?sort=relevancy&f:@ps_contenttype=%5BDICOM%20Conformance%20Statement%5D&f:@ps_language=%5BEnglish,English%20(US)%5D",New Third Party Trackers,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",,,,
lux.speedcurve.com,Performance cookies,Speedcurve,JavaScript,,,,,https://www.CLIENT_X.rs/healthcare,New Third Party Trackers,Monitor the front-end performance and build of your website. Compare yourself to others and beat the competition.,,,,
network-a.bazaarvoice.com,Performance cookies,"Bazaarvoice, Inc.",Beacon,,,,,https://www.CLIENT_X.rs/c-m-ho/kafa/lattego-cafe-aromis-8000-serija,New Third Party Trackers,"Bazaarvoice, Inc. is a Software as a Service (SaaS) company that turns social media into social commerce for brands by enabling authentic customer marketing.",,,,
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,s_vi,,400,,https://www.CLIENT_X.rs/a-w/privacy-notice.html,New Third Party Trackers,Adobe Audience Manager is a data management platform that helps build audience profiles so you can identify your valuable segments and use them across any digital channel.,,,,
CLIENT_Xb2c.my.salesforce-scrt.com,Performance cookies,"Salesforce.com, Inc.",Beacon,,,,,https://www.CLIENT_X.rs/sr/c-p/HX9992_12/diamondclean-prestige-9900-power-toothbrush-with-senseiq/support,New Third Party Trackers,"Salesforce.com, Inc. is a cloud computing company that develops CRM solutions and provides business software on a subscription basis.",,,,
